grid_id,ror_id
100011307,05swbnm48
grid.1001.0,019wvm592
grid.1002.3,02bfwt286
grid.10025.36,04xs57h96
grid.1003.2,00rqy9422
grid.1004.5,01sf06y89
grid.10041.34,01r9z8p25
grid.10049.3c,00a0n9e72
grid.1005.4,03r8z3t63
grid.100572.1,013vyke20
grid.1006.7,01kj2bm70
grid.10067.30,0542q3127
grid.1007.6,00jtmb277
grid.1008.9,01ej9dk98
grid.1009.8,01nfmeh72
grid.10090.38,008taqp83
grid.10097.3f,05sd8tv96
grid.100995.4,02yqjxa29
grid.1010.0,00892tw58
grid.1011.1,04gsp2c11
grid.1012.2,047272k79
grid.1013.3,0384j8v12
grid.1014.4,01kpzv902
grid.1016.6,03qn8fb07
grid.1017.7,04ttjf776
grid.1018.8,01rxfrp27
grid.1019.9,04j757h98
grid.101970.e,057skhv53
grid.101992.2,01g312x22
grid.1020.3,04r659a56
grid.1021.2,02czsnj07
grid.10210.32,04ehtgm24
grid.10211.33,02w2y2t16
grid.10212.30,05fg6gr82
grid.10214.36,04c8e9019
grid.10215.37,036b2ww28
grid.1022.1,02sc3r913
grid.10223.32,01znkr924
grid.1023.0,023q4bk22
grid.1024.7,03pnv4752
grid.1025.6,00r4sry34
grid.10251.37,01k8vtd75
grid.10253.35,01rdrb571
grid.1026.5,01p93h210
grid.10267.32,02j46qs45
grid.1027.4,031rekg67
grid.102760.2,01xdt7541
grid.1029.a,03t52dk35
grid.10291.3b,01z014940
grid.10306.34,05cy4wa09
grid.1031.3,001xkv632
grid.1032.0,02n415q13
grid.10328.38,037wpkx04
grid.1033.1,006jxzx88
grid.10334.35,038g7dk46
grid.1034.6,016gb9e15
grid.10346.30,02xsh5r57
grid.10347.31,00rzspn62
grid.1035.7,00y0xnp53
grid.10359.3e,00yze4d93
grid.1037.5,00wfvh315
grid.10373.36,04z08z627
grid.1038.a,05jhnwe22
grid.10383.39,02k7wn190
grid.10388.32,041nas322
grid.1039.b,04s1nv328
grid.10392.39,03a1kwz48
grid.1040.5,05qbzwv83
grid.10400.35,03nhjew95
grid.10403.36,054vayn55
grid.10404.31,00a99v816
grid.10412.36,04cnscd67
grid.10414.30,03gwbzf29
grid.10417.33,05wg1m734
grid.10419.3d,05xvt9f17
grid.1042.7,01b6kha49
grid.10420.37,03prydq77
grid.10421.36,00k4v9x79
grid.10423.34,00f2yqf98
grid.1043.6,048zcaj52
grid.10438.3e,05ctdxz19
grid.10447.36,018ndmv91
grid.104514.5,015e5sp16
grid.1046.3,03x57gn41
grid.1047.2,05e89k615
grid.1048.d,04sjbnx57
grid.104846.f,002g3cb31
grid.104887.2,021vseb03
grid.1049.c,004y8wk30
grid.10491.3d,03z27es23
grid.10493.3f,03zdwsf69
grid.10506.32,052fdp564
grid.1051.5,03rke0285
grid.105130.6,02j44zw77
grid.10516.33,059636586
grid.1052.6,05qdwtz81
grid.10548.38,05f0yaq80
grid.1055.1,02a8bt934
grid.1056.2,05ktbsm52
grid.1057.3,03trvqr13
grid.10570.33,04aaeds92
grid.1058.c,048fyec77
grid.10582.3e,03ejz0s07
grid.10586.3a,03p3aeb86
grid.10594.39,02aqt9c37
grid.10595.38,04vtx5s55
grid.10598.35,016xje988
grid.10599.34,00vr49948
grid.10601.36,03xyve152
grid.106023.6,03sz8rb35
grid.10604.33,02y9nww90
grid.1064.3,00nx6aa03
grid.10689.36,059yx9a68
grid.10690.3e,011gakh74
grid.10692.3c,056tb7j80
grid.10698.36,0130frc33
grid.10702.34,02msb5n36
grid.10706.30,0567v8t28
grid.10711.36,00vasag41
grid.10729.3d,01t466c14
grid.1073.5,02k3cxs74
grid.10733.36,05tj8pb04
grid.10737.32,02k9vew78
grid.10757.34,01sn1yx84
grid.1076.0,046fa4y88
grid.10760.30,00k01kt20
grid.10761.31,02436cs38
grid.10772.33,02xankh89
grid.10776.37,044k9ta02
grid.10784.3a,00t33hh48
grid.10789.37,05cq64r17
grid.107891.6,04gbpnx96
grid.107950.a,01v1rak05
grid.10796.39,01xtv3204
grid.107973.b,02fjy3w42
grid.10798.37,00pt8r998
grid.107984.3,04b8y3f13
grid.107996.0,01s1a1r54
grid.10800.39,006vs7897
grid.10803.3a,04s4j9e43
grid.108124.e,045n0ms44
grid.108126.c,030bmb197
grid.108137.c,029efta16
grid.10814.3c,02tphfq59
grid.108162.c,04chzd762
grid.10818.30,00286hs46
grid.108196.7,038fwcw54
grid.10821.3a,00htwgm11
grid.10822.39,00xa57a59
grid.10824.3f,04snhqa82
grid.10825.3e,03yrrjy16
grid.108266.b,04eq83d71
grid.108311.a,04084tn63
grid.108365.9,00v29jp57
grid.10837.3d,05mzfcs16
grid.10854.38,04qmmjx98
grid.10858.34,03yj89h83
grid.10863.3c,006gksa02
grid.108752.9,03308db07
grid.10877.39,05hy3tk52
grid.1088.1,02d439m40
grid.108884.d,0279d5115
grid.1089.0,05j7fep28
grid.10894.34,032e6b942
grid.10911.38,00t74vp97
grid.10914.3d,01gntjh03
grid.10917.3e,05vg74d16
grid.10919.30,00wge5k78
grid.10939.32,03z77qz90
grid.10979.36,04qxnmv42
grid.10984.34,0070j0q91
grid.10985.35,03xawq568
grid.10988.38,002t25c44
grid.10992.33,0220k9r37
grid.10999.38,01s4gpq44
grid.11023.31,04y85wy15
grid.11024.36,052bz7812
grid.11028.3a,01chzd453
grid.11046.32,05ydjnb78
grid.11047.33,017wvtq80
grid.1108.8,033yfkj90
grid.11081.39,00mr84n67
grid.11100.31,03yczjf25
grid.11108.39,017mdc710
grid.11134.36,03tbh6y23
grid.11135.37,02v51f717
grid.11136.34,03am2jy38
grid.11139.3b,025h79t26
grid.11142.37,02e91jd64
grid.11159.3d,01rrczv41
grid.11162.35,01gyxrk03
grid.11166.31,04xhy8q59
grid.11173.35,011maz450
grid.11175.33,039965637
grid.11176.30,030s54078
grid.11184.3d,02ahxbh87
grid.11187.3e,0545p3742
grid.11194.3c,03dmz0111
grid.11201.33,008n7pv89
grid.11205.37,012a91z28
grid.1121.3,04h08p482
grid.11220.30,03z9tma90
grid.112471.0,00x3rpv59
grid.112485.b,014zrew76
grid.112857.8,0093wrd09
grid.113032.2,00sn9ab77
grid.11318.3a,0199hds37
grid.113463.2,0389pzc90
grid.11348.3f,03bnmw459
grid.1135.6,044tc0x05
grid.11355.33,02jv3k292
grid.113596.9,03k793y62
grid.11374.30,00965bg92
grid.11375.31,05060sz93
grid.11381.3a,04yxemn98
grid.11417.32,017tgbk05
grid.11444.34,038j9sn30
grid.11447.37,05rw9t746
grid.11450.31,01bnjbv91
grid.11451.30,019sbgd69
grid.11469.3b,01j33xk10
grid.11477.34,05aec4025
grid.11478.3b,03wyzt892
grid.11480.3c,000xsnr85
grid.11485.39,054225q67
grid.11486.3a,03xrhmk39
grid.11492.3f,04xraxn18
grid.11500.35,00fkqwx76
grid.11503.36,01z6bgg93
grid.11505.30,03xq4x896
grid.11543.32,00dcrfk74
grid.11553.33,00xqf8t64
grid.115537.4,05gh7t135
grid.11560.33,01r53hz59
grid.11567.34,041sz8d87
grid.11586.3b,00c7kvd80
grid.11598.34,02n0bts35
grid.116068.8,042nb2s44
grid.11619.3e,01m84wm78
grid.11630.35,030bbe882
grid.116345.4,00xddhq60
grid.11642.30,005ypkf75
grid.11667.37,03hypw319
grid.11696.39,05trd4x28
grid.11698.37,04mv1z119
grid.11702.35,014axpa37
grid.11744.37,01hn2d233
grid.117476.2,03f0f6041
grid.11749.3a,01jdpyv68
grid.11762.33,02f40zc51
grid.11780.3f,0192m2k53
grid.11793.3d,01b4w2923
grid.11794.3a,030eybx10
grid.11804.3c,01g9ty582
grid.118094.5,01z78ch44
grid.11835.3e,05krs5044
grid.11841.3d,01zntxs11
grid.11843.3f,00pg6eq24
grid.11866.38,0104rcc94
grid.11869.37,02hhwgd43
grid.11875.3a,02rgb2k63
grid.11887.37,00jdryp44
grid.118888.0,03t54am93
grid.11893.32,00c32gy34
grid.11899.38,036rp1748
grid.119021.a,0553yr311
grid.11906.3f,02f7wz369
grid.11914.3c,02wn5qz54
grid.11918.30,045wgfr59
grid.119375.8,04dp46240
grid.11942.3f,0046mja08
grid.11951.3d,03rp50x72
grid.11956.3a,05bk57929
grid.11984.35,00n3w3b69
grid.120073.7,055vbxf86
grid.12026.37,05cncd958
grid.12039.39,04nbe0v26
grid.12056.30,035pkj773
grid.12082.39,00ayhx656
grid.120895.7,00pwy5433
grid.12104.36,05nv2rz39
grid.12112.31,02jqtg033
grid.121334.6,051escj72
grid.12136.37,04mhzgx49
grid.1214.6,01pp8nd67
grid.12148.3e,05510vn56
grid.12155.32,04nbhqj75
grid.121559.b,008wtrs16
grid.12245.30,01jk32r56
grid.12284.3d,03bfqnx40
grid.12295.3d,04b8v1s79
grid.123047.3,011cztj49
grid.12306.36,03g9v2404
grid.12316.37,02drrjp49
grid.12319.38,00jsjm362
grid.12332.31,0208vgz68
grid.12337.34,04xrarz80
grid.12341.35,03qc8vh97
grid.1236.6,01zctcs90
grid.12361.37,04xyxjd90
grid.12362.34,05gkzcc88
grid.12364.32,00wc07928
grid.12366.30,02wwzvj46
grid.12370.37,03jpkw355
grid.123763.2,05mnej980
grid.12380.38,008xxew50
grid.12391.38,02778hg05
grid.12477.37,04kp2b655
grid.12513.34,03ynt1573
grid.12525.31,001b4cb05
grid.12527.33,03cve4549
grid.12574.35,029cgt552
grid.125811.e,04xbrv698
grid.12597.38,03svwq685
grid.12611.35,02m9kbe37
grid.12641.30,01yp9g959
grid.12650.30,05kb8h459
grid.127050.1,0489ggv38
grid.127098.5,0310h1546
grid.12711.34,04q4kt073
grid.127854.d,02c89h825
grid.12799.34,0409dgb37
grid.1281.a,05m7zw681
grid.12810.3a,02ezch769
grid.12826.3f,00nxna028
grid.12832.3a,03mkjjy25
grid.12847.38,039bjqg32
grid.12896.34,04ycpbx82
grid.12916.3d,03fkc8c64
grid.12955.3a,00mcjh785
grid.129553.9,01394d192
grid.12981.33,0064kty71
grid.12984.36,03gh19d69
grid.13001.33,04ze6rb18
grid.13063.37,0090zs177
grid.13097.3c,0220mzb33
grid.1310.3,017wrhq72
grid.131063.6,00mkhxb43
grid.13252.37,013sm1c65
grid.132669.9,01mjqhh60
grid.13276.31,05srvzs48
grid.13291.38,011ashp19
grid.13327.34,01zbg3a43
grid.133275.1,0171mag52
grid.133302.0,01523w440
grid.133342.4,02t274463
grid.13339.3b,04p2y4s44
grid.13349.3c,04h1h0y33
grid.133800.9,047k2at48
grid.13388.31,03k0z2z93
grid.13394.3c,01p455v08
grid.13399.31,00b2whf03
grid.13402.34,00a2xv884
grid.13414.33,02qnsw591
grid.13428.3c,014x8q810
grid.1343.5,04p8ejq70
grid.134563.6,03m2x1q45
grid.13464.34,03gcbhc33
grid.134907.8,0420db125
grid.134936.a,02ymw8z06
grid.134996.0,010567a58
grid.135060.1,01f61vq51
grid.13508.3f,01b40r146
grid.13515.33,01411sx56
grid.135519.a,01qz5mb56
grid.13570.30,05rth8x13
grid.13574.34,03wt3br81
grid.135769.f,01rkwtz72
grid.135963.b,01485tq96
grid.13606.32,01nhzsw25
grid.13622.34,04838xh83
grid.136304.3,01hjzeq58
grid.13648.38,01zgy1s35
grid.13652.33,01k5qnb77
grid.136593.b,035t8zc32
grid.136594.c,00qg0kr10
grid.13687.3b,024xs2z82
grid.13689.35,00tnppw48
grid.13719.3d,05hkn5555
grid.13739.3f,012s7h980
grid.1374.1,05vghhr25
grid.13745.34,008yqe287
grid.13751.31,01je6q363
grid.13753.33,02fv8hj62
grid.13756.36,05m5z4f19
grid.137628.9,0190ak572
grid.13788.35,04z8xsz80
grid.13790.3c,04kgqpx54
grid.13796.3a,042bdnm87
grid.13797.3b,029pk6x14
grid.13799.35,03bj8zh59
grid.13822.3a,022wqqf69
grid.13825.3d,029gnnp81
grid.13829.31,01ngpvg12
grid.138497.0,01kvp0178
grid.13856.39,03pfsnq21
grid.13946.39,022d5qt08
grid.13950.3e,016pfse95
grid.139510.f,01jbb3w63
grid.139534.9,00b31g692
grid.139596.1,02xh9x144
grid.13985.36,00epmv149
grid.13986.35,047vb2x72
grid.13992.30,0316ej306
grid.14001.34,00v0y5771
grid.14003.36,01y2jtd41
grid.14004.31,0583a0t97
grid.14005.30,05kzjxq56
grid.14009.3c,04n60ga54
grid.14013.37,01db6h964
grid.140139.e,02hw5fp67
grid.1403.6,03awtex73
grid.14039.3f,05vs9tj88
grid.14076.34,02npppw10
grid.14094.38,03rtq6c48
grid.14095.39,046ak2485
grid.14105.31,03x94j517
grid.14127.31,00k5x3m24
grid.14170.33,020m6x732
grid.141980.5,04zah8g26
grid.142627.4,04abhhf82
grid.14263.32,00jzexr10
grid.14329.3d,027sdcz20
grid.14332.37,04r7rxc53
grid.14335.30,0431sk359
grid.14352.31,056hcgc41
grid.143640.4,04s5mat29
grid.143643.7,05sj3n476
grid.144022.1,0051rme32
grid.1441.0,024850w61
grid.14416.36,04z4j3y75
grid.144189.1,05xrcj819
grid.14440.35,004mbaj56
grid.14442.37,04kwvgz42
grid.144532.5,046dg4z72
grid.14454.30,00yyp2526
grid.14467.30,057g20z61
grid.144756.5,00qyh5r35
grid.14476.30,010pmpe69
grid.144767.7,0025g8755
grid.14498.30,01wftfc57
grid.14509.39,033n3pw66
grid.1453.3,00kv9pj15
grid.145490.d,028ddsd03
grid.145695.a,00d80zx46
grid.145749.a,04psbxy09
grid.14587.3f,00xmwgm53
grid.14601.32,0287e5797
grid.14617.35,03dke3h47
grid.146189.3,03ctjbj91
grid.1463.0,00hgy8d33
grid.14647.30,04mqy3p58
grid.14648.3f,02wat9f69
grid.146611.5,0430zw506
grid.14709.3b,01pxwe438
grid.147093.8,017g36q02
grid.14724.34,00ne6sr39
grid.147455.6,05x2bcf33
grid.14750.37,017aqg979
grid.14751.36,00en9ce74
grid.14758.3f,03tf0c761
grid.14778.3d,006k2kk72
grid.14826.39,02c5jsm26
